epoch,train_loss,train_accuracy,train_f1_macro,train_f1_weighted,val_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_hamming
1,1.8069475037711007,0.29910524073285044,0.22615717050028616,0.2848756311768477,1.4227798125323128,0.4827586206896552,0.4157321953066634,0.4582869920915083,0.5172413793103449
2,1.2946510777181508,0.5581593523647209,0.43669117522341294,0.5461033473301727,1.2690384423031527,0.5555555555555556,0.5064922390470316,0.5463662786858737,0.4444444444444444
3,0.8810045037950788,0.7166595654026416,0.5930555917567661,0.7106123864233898,1.2821822061258203,0.5823754789272031,0.5455926893657395,0.5782612436161486,0.41762452107279696
4,0.559674901317577,0.8231785257775884,0.7040299952899367,0.821861669320338,1.4217513449051802,0.5977011494252874,0.583739696913503,0.6017000847341056,0.40229885057471265
5,0.34222711891341373,0.9037068598210481,0.7863144069446895,0.9030867058476448,1.7234918019350838,0.5670498084291188,0.5522366052681442,0.5688267452547777,0.4329501915708812
6,0.21229618764957603,0.9377929271410311,0.8177525920698987,0.9371188087322339,1.7277388222077315,0.5670498084291188,0.5478169877171022,0.5623828266282859,0.4329501915708812
7,0.14807108579342868,0.9612270984235194,0.8383672369785851,0.9605351585852923,2.053349933203529,0.5708812260536399,0.5436256555315082,0.5709941683129449,0.42911877394636017
8,0.11272428323178976,0.9693225394120153,0.9078615244649582,0.9691073149070082,2.2113450625363518,0.5593869731800766,0.5201278983579646,0.5565673615809899,0.44061302681992337
9,0.0852340069206647,0.9748615253515126,0.9137852784005629,0.9746639789492352,2.337647455580094,0.5632183908045977,0.5286042620373764,0.5587684678967463,0.4367816091954023
10,0.057398946505977586,0.9829569663400085,0.9223592065805155,0.9827597841746796,2.376267636523527,0.5517241379310345,0.5111553013808653,0.5456140350877193,0.4482758620689655
