epoch,train_loss,train_f1_macro,train_f1_micro,train_f1_weighted,val_loss,val_accuracy,val_f1_macro,val_f1_micro,val_f1_weighted,val_hamming
1,0.30787290980468596,0.32359579119223636,0.4063235788765556,0.40591117336259025,0.22580732651860327,0.5600907029478458,0.5473783098969052,0.6443883984867591,0.6339170349072515,0.07993197278911565
2,0.20083627393919853,0.6086948796166827,0.6782868525896415,0.672545470888562,0.19706018844636175,0.5963718820861678,0.6234778505333253,0.6810610734114745,0.6777033048383421,0.07327097505668934
3,0.1626849673827359,0.7030880258012996,0.7525249101877585,0.7490504598502614,0.20624155719840043,0.6439909297052154,0.6661435074115236,0.7054714784633295,0.7046876226091016,0.07171201814058957
4,0.13098842326003396,0.764149105554413,0.8069051199895377,0.8045424255051353,0.20512672537216195,0.6643990929705216,0.69737101657832,0.7110855829982768,0.709164643899412,0.07128684807256236
5,0.10458672393184726,0.8168093432086814,0.8536507734419759,0.8521341350121204,0.2404723917301912,0.6621315192743764,0.6645317868433307,0.7065527065527064,0.706393814722593,0.0729875283446712
6,0.08347351278644055,0.8531835370269423,0.888972478214532,0.8875233231370846,0.2572955729037121,0.6723356009070295,0.6897172016653692,0.7161326587970769,0.7141199438663832,0.0715702947845805
7,0.06511458366707477,0.8891234614243374,0.915163577559398,0.9142722376222885,0.27159044795946496,0.6757369614512472,0.6836595336479021,0.710789766407119,0.7103927318617027,0.07369614512471655
8,0.05166152071333566,0.9154336504326183,0.9369825775361424,0.9364142387731249,0.2735836961021362,0.68140589569161,0.7049393107842725,0.7135016465422612,0.7148463377787286,0.07397959183673469
9,0.03985652110596646,0.9307762016529877,0.9524628424026532,0.9519783931754087,0.2941593061671131,0.673469387755102,0.7002389929939266,0.7127071823204418,0.7138210669007915,0.07369614512471655
10,0.03202198490461958,0.9465690407865588,0.963276836158192,0.9628751746879789,0.2966612313248989,0.6780045351473923,0.7016340637104704,0.7124039517014269,0.7125750614993895,0.07426303854875284
