epoch,train_loss,train_f1_macro,train_f1_micro,train_f1_weighted,val_loss,val_accuracy,val_f1_macro,val_f1_micro,val_f1_weighted,val_hamming
1,1.7715838492727605,0.26195897832340925,0.3289305496378355,0.32443989678426244,1.459860131596074,0.5172413793103449,0.44871563498331274,0.5172413793103449,0.4945321730460008,0.4827586206896552
2,1.404205813902576,0.4204420483073096,0.5176821474222412,0.5108438602594063,1.3295886760408229,0.5363984674329502,0.5022363909469995,0.5363984674329502,0.5245593886795008,0.46360153256704983
3,1.1295459866016901,0.5152324350443944,0.6131231359181935,0.6101659578679384,1.33833083691019,0.5747126436781609,0.5448099491291367,0.5747126436781609,0.5678000402371893,0.42528735632183906
4,0.9153697380453957,0.5832259962023196,0.6910950149126545,0.6891092176345336,1.418302089879007,0.5402298850574713,0.5281805558307946,0.5402298850574713,0.5406153397750675,0.45977011494252873
5,0.673294740418593,0.6740639394080723,0.782275244993609,0.7818006278479384,1.5427431017160416,0.5517241379310345,0.5270369672905123,0.5517241379310345,0.5444553180453556,0.4482758620689655
6,0.477042849349859,0.7364133038026869,0.8461866212185769,0.8455194196102723,1.8273887462688214,0.5555555555555556,0.5339723449188287,0.5555555555555556,0.5499121186908098,0.4444444444444444
7,0.35642832176455735,0.7691285142558766,0.8853855986365573,0.8846915484913431,2.170949423855001,0.5478927203065134,0.5232859879306447,0.5478927203065134,0.5409430486232234,0.4521072796934866
8,0.25914569103418766,0.8046001033879064,0.9216020451640392,0.9210061644532355,2.1593955728140743,0.5632183908045977,0.543236100573855,0.5632183908045977,0.5573221064936406,0.4367816091954023
9,0.17281136433213798,0.827287436118286,0.9471665956540264,0.9464880330164357,2.373673416448362,0.5517241379310345,0.5375198677978955,0.5517241379310345,0.5479337708308984,0.4482758620689655
10,0.13702968568430238,0.8420012455718571,0.9633574776310183,0.9627124108996725,2.450407461686568,0.5632183908045977,0.5460004097047286,0.5632183908045977,0.5588169822198157,0.4367816091954023
